,last_scraped,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,Unnamed: 0,id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
22,2024-09-18,Hermina,2010-05-05,"Boston, MA",within an hour,f,t,t,Private room in home,Private room,1.5 shared baths,t,2024-09-18,2011-09-02,2024-05-19,STR-457920,f,22,205894,119019,1.0,0.83,5.0,8.0,2.0,1.5,3.0,1.0,80.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,1,1,21.0,2.0,0.0,4.45,4.61,4.52,4.63,4.24,1.0,4.0,0.0,1.37
23,2024-09-18,Maria Elena,2011-08-29,"Boston, MA",within a few hours,t,t,t,Entire home,Entire home/apt,1 bath,t,2024-09-18,2011-09-16,2024-09-14,STR-545902,f,23,210097,1035747,1.0,0.91,1.0,1.0,2.0,1.0,0.0,1.0,141.0,3.0,60,1.0,3.0,60.0,60.0,3.0,60.0,1,31,21.0,26.0,0.3,4.89,4.92,4.87,4.93,4.91,1.0,0.0,0.0,1.94
24,2024-09-18,Howard,2011-09-11,"Boston, MA",within an hour,t,t,t,Private room in townhouse,Private room,1 private bath,t,2024-09-18,2011-10-01,2024-09-04,STR-454055,f,24,220676,1144302,1.0,0.97,1.0,1.0,3.0,1.0,1.0,1.0,195.0,3.0,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,25,21.0,22.0,0.3,4.93,4.92,4.92,4.95,4.98,0.0,1.0,0.0,2.15
25,2024-09-18,Meri,2011-10-31,"Boston, MA",within an hour,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2012-07-20,2024-09-02,STR-411297,f,25,257588,1355344,1.0,0.99,2.0,2.0,4.0,1.0,2.0,2.0,300.0,2.0,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,3,44,21.0,7.0,0.3,4.85,4.89,4.93,4.95,4.84,1.0,0.0,0.0,3.34
26,2024-09-18,Albert,2011-12-26,"Boston, MA",within an hour,f,t,t,Entire home,Entire home/apt,1 bath,t,2024-09-18,2012-02-15,2024-09-02,STR-564151,f,26,297994,1536237,1.0,0.79,1.0,3.0,4.0,1.0,2.0,2.0,190.0,3.0,150,3.0,3.0,150.0,150.0,3.0,150.0,0,50,57.0,11.0,1.0,4.52,4.32,4.8,4.65,4.28,1.0,0.0,0.0,0.37
27,2024-09-18,Hermina,2010-05-05,"Boston, MA",within an hour,f,t,t,Entire townhouse,Entire home/apt,2 baths,t,2024-09-18,2012-03-05,2022-10-24,STR-457920,f,27,315982,119019,1.0,0.83,5.0,8.0,4.0,1.2,2.0,1.0,213.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,0,57,120.0,0.0,0.0,4.36,4.66,4.33,4.65,4.8,1.0,4.0,0.0,0.79
28,2024-09-18,Hermina,2010-05-05,"Boston, MA",within an hour,f,t,t,Private room in home,Private room,1.5 baths,t,2024-09-18,2012-08-11,2024-09-03,STR-492781,t,28,377474,119019,1.0,0.83,5.0,8.0,1.0,1.5,1.0,1.0,50.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,2,36,94.0,37.0,0.3,4.58,4.52,4.68,4.73,4.21,1.0,4.0,0.0,0.64
29,2024-09-18,Hilary,2012-04-02,"Boston, MA",within a few hours,t,t,t,Private room in home,Private room,1 shared bath,t,2024-09-18,2012-06-23,2024-09-11,STR-459697,f,29,447826,2053557,1.0,0.94,1.0,1.0,2.0,1.0,1.0,1.0,75.0,5.0,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,3,40,21.0,24.0,2.0,4.84,4.82,4.72,4.97,4.87,0.0,1.0,0.0,2.73
30,2024-09-18,Maria,2012-03-18,"Boston, MA",within a few hours,f,t,t,Private room in home,Private room,1 private bath,t,2024-09-18,2013-09-15,2016-06-26,STR-416892,f,30,496022,1956464,1.0,0.9,1.0,4.0,2.0,1.2,1.0,1.0,213.0,14.2,120,13.3,91.0,120.0,120.0,15.0,120.0,0,0,16.0,0.0,0.0,4.93,4.81,4.88,4.75,4.94,0.0,1.0,0.0,0.12
31,2024-09-18,Guy,2012-05-30,"Boston, MA",within a few hours,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2012-08-01,2013-07-01,STR-416892,f,31,507525,2501324,1.0,0.9,1.0,1.0,2.0,1.2,1.0,1.0,213.0,14.2,180,13.3,180.0,180.0,180.0,15.0,180.0,0,0,8.0,0.0,0.0,5.0,4.75,4.63,4.9,5.0,1.0,0.0,0.0,0.05
32,2024-09-18,Lance,2010-01-19,"Boston, MA",within an hour,f,t,t,Entire home,Entire home/apt,2 baths,t,2024-09-18,2012-11-11,2019-10-29,STR-416892,t,32,530983,71783,1.0,0.98,30.0,68.0,2.8,1.1,1.2,1.3,270.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,65.0,0.0,0.0,4.4,4.67,4.4,4.8,4.54,14.0,0.8,0.0,0.45
33,2024-09-18,Lance,2010-01-19,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2014-04-14,2024-07-16,STR-416892,t,33,533152,71783,1.0,0.98,30.0,68.0,5.0,1.0,2.0,2.0,135.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,5,45,63.0,2.0,0.0,4.67,4.84,4.78,4.9,4.46,14.0,0.8,0.0,0.5
34,2024-09-18,Lance,2010-01-19,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2012-08-26,2023-08-14,STR-416892,t,34,579605,71783,1.0,0.98,30.0,68.0,5.0,1.0,3.0,2.0,145.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,58.0,0.0,0.0,4.43,4.64,4.67,4.66,4.29,14.0,0.8,0.0,0.39
35,2024-09-18,Valery,2010-12-01,"Brookline, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2012-10-01,2017-07-05,STR-416892,f,35,583255,306407,1.0,0.9,1.0,2.0,2.0,1.2,1.0,1.0,213.0,14.2,1125,13.3,91.0,1125.0,1125.0,15.0,1125.0,0,0,11.0,0.0,0.0,5.0,5.0,5.0,5.0,4.82,1.0,0.0,0.0,0.08
36,2024-09-18,Lance,2010-01-19,"Boston, MA",within an hour,f,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2017-04-05,2022-12-31,STR-416892,t,36,601763,71783,1.0,0.98,30.0,68.0,5.0,1.0,3.0,3.0,135.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,18,78,43.0,0.0,0.0,4.56,4.63,4.67,4.6,4.58,14.0,0.8,0.0,0.47
37,2024-09-18,Deborah,2012-07-23,"Boston, MA",within an hour,t,t,f,Boat,Entire home/apt,1 bath,t,2024-09-18,2016-09-15,2024-08-16,STR-416892,t,37,611081,3029783,1.0,1.0,18.0,21.0,6.0,1.0,1.0,1.3,238.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,11,54,121.0,33.0,0.0,4.81,4.84,4.68,4.79,4.84,3.0,0.0,0.0,1.24
38,2024-09-18,Joe,2011-04-11,"Boston, MA",within a few hours,t,t,t,Entire home,Entire home/apt,1 bath,t,2024-09-18,2012-08-08,2024-09-01,STR-529113,f,38,619142,501427,1.0,0.94,1.0,2.0,2.0,1.0,1.0,1.0,175.0,3.0,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,21.0,10.0,1.0,4.79,4.79,4.68,4.98,4.86,1.0,0.0,0.0,1.28
39,2024-09-18,Ingrid,2012-08-12,"Boston, MA",within a day,f,t,t,Private room in townhouse,Private room,1 shared bath,t,2024-09-18,2016-06-18,2022-05-30,STR-398090,f,39,646087,3236611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,213.0,1.0,7,1.0,1.0,7.0,7.0,1.0,7.0,18,78,8.0,0.0,0.0,5.0,5.0,5.0,5.0,4.88,0.0,1.0,0.0,0.08
40,2024-09-18,Gerard  And Marie,2012-09-23,"Boston, MA",within an hour,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2012-10-13,2024-09-14,STR-401905,f,40,708802,3648427,1.0,0.94,2.0,2.0,4.0,1.0,1.0,2.0,207.0,2.0,60,1.0,2.0,60.0,60.0,2.0,60.0,5,36,21.0,42.0,0.3,4.91,4.95,4.93,4.98,4.88,1.0,0.0,0.0,3.28
41,2024-09-18,Margaret,2012-07-01,"Boston, MA",within an hour,t,t,t,Entire home,Entire home/apt,2.5 baths,t,2024-09-18,2013-03-27,2024-09-02,STR-454183,f,41,743211,2796082,1.0,0.99,2.0,3.0,2.8,1.2,1.2,1.0,213.0,4.0,30,3.0,5.0,1125.0,1125.0,3.4,1125.0,7,49,82.0,8.0,1.0,4.85,4.78,4.73,4.99,4.68,2.0,0.0,0.0,0.59
42,2024-09-18,Lisa,2012-10-22,"Boston, MA",within an hour,t,t,t,Private room in rental unit,Private room,1 private bath,t,2024-09-18,2013-06-04,2024-09-11,STR-523680,f,42,750438,3945438,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,94.0,2.0,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,56,21.0,27.0,0.3,4.89,4.9,4.82,4.95,4.92,0.0,1.0,0.0,2.09
43,2024-09-18,Sami,2012-10-24,"Boston, MA",within a day,f,t,f,Private room in condo,Private room,1 shared bath,t,2024-09-18,2015-09-10,2019-07-27,STR-397984,f,43,753446,3962517,1.0,0.9,1.0,1.0,2.0,1.0,1.0,2.0,55.0,14.2,1125,13.3,91.0,1125.0,1125.0,15.0,1125.0,30,90,21.0,0.0,0.0,4.82,4.91,4.91,4.91,4.68,0.0,1.0,0.0,1.29
44,2024-09-18,Terry,2009-02-19,"Boston, MA",within an hour,t,t,t,Entire condo,Entire home/apt,1 bath,t,2024-09-18,2012-12-04,2024-05-16,STR446651,f,44,801680,8229,1.0,0.99,11.0,14.0,4.0,1.0,0.0,1.0,164.0,3.0,90,1.0,3.0,90.0,90.0,3.0,90.0,6,40,70.0,3.0,0.0,4.85,4.91,4.9,4.86,4.48,10.0,0.0,0.0,0.49
45,2024-09-18,Kelly & Chris,2012-03-12,"Boston, MA",within an hour,t,t,t,Entire loft,Entire home/apt,2 baths,t,2024-09-18,2013-04-17,2024-09-18,STR-411359,t,45,820073,1911807,1.0,0.98,2.0,2.0,4.0,1.1,1.0,2.0,516.0,2.0,1125,2.0,4.0,1125.0,1125.0,2.0,1125.0,16,50,21.0,7.0,0.3,4.97,4.99,5.0,4.99,4.86,2.0,0.0,0.0,1.31
46,2024-09-18,Damon,2012-12-18,"Boston, MA",within an hour,t,t,t,Entire rental unit,Entire home/apt,2 baths,t,2024-09-18,2014-01-02,2024-08-13,STR-456742,f,46,849408,4434391,1.0,0.98,2.0,3.0,2.8,1.1,3.0,1.3,369.0,4.0,1125,4.0,5.0,1125.0,1125.0,4.1,1125.0,4,55,103.0,17.0,0.0,4.86,4.91,4.85,4.93,4.73,2.0,0.0,0.0,0.79
47,2024-09-18,Andy & Daljit,2011-07-04,"Boston, MA",within an hour,f,t,t,Entire condo,Entire home/apt,2 baths,t,2024-09-18,2013-04-18,2024-05-21,STR-397937,f,47,863788,775932,1.0,1.0,1.0,1.0,4.0,1.2,2.0,1.0,213.0,3.0,150,3.0,3.0,150.0,150.0,3.0,150.0,0,0,25.0,3.0,0.0,5.0,5.0,4.92,5.0,5.0,1.0,0.0,0.0,0.18
48,2024-09-18,Paolo,2013-01-17,"Boston, MA",within a day,t,t,t,Entire rental unit,Entire home/apt,1 bath,t,2024-09-18,2013-03-19,2023-10-28,STR-400168,f,48,891661,4737456,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,80.0,29.0,365,29.0,29.0,365.0,365.0,29.0,365.0,0,2,21.0,10.0,0.0,4.7,4.83,4.81,4.82,4.92,1.0,0.0,0.0,4.38
49,2024-09-18,Jennifer,2013-01-19,"Boston, MA",within an hour,t,t,t,Private room in bed and breakfast,Private room,1.5 shared baths,t,2024-09-18,2013-10-15,2022-08-30,STR-408484,f,49,894539,4762495,1.0,0.82,2.0,3.0,2.0,1.5,1.0,1.0,100.0,29.0,1124,29.0,29.0,1124.0,1124.0,29.0,1124.0,0,2,63.0,0.0,0.0,4.85,4.92,4.79,4.92,4.77,0.0,2.0,0.0,0.47
